comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegressionBalanced,0,0.515748602741926,0.5211525439101934,0.005403941168267368,0.013284132841328344,0.04472405030340232
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegression,0,0.5223073297268517,0.5276154137746143,0.005308084047762618,0.013284132841328455,0.04479167469629841
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegressionBalanced,0,0.5204384322739162,0.5255840030490818,0.005145570775165642,0.011808118081180874,0.03968100084859971
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,ExtraTreesClassifier,25,0.5664133269838517,0.5714253014118167,0.005011974427964971,0.01216216216216226,0.03909228680486798
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,ExtraTreesClassifier,0,0.5077171348242244,0.512691876395706,0.004974741571481589,0.0022140221402214832,0.007318021592999102
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegressionBalanced,0,0.5155796223931203,0.520472298866008,0.004892676472887714,0.011070110701106972,0.037200323563873816
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegression,0,0.5178100496518723,0.5226392041750295,0.004829154523157242,0.011808118081180874,0.039808089396637936
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegression,0,0.5178066413429743,0.5223284532020712,0.004521811859096947,0.014760147601476148,0.04957510887928329
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_global_m25,HistGradientBoostingClassifier,25,0.5566147446863766,0.5609328417249351,0.004318097038558455,0.014864864864864935,0.046818241108452785
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_global_m25,ExtraTreesClassifier,25,0.5653401755743708,0.5687517791873888,0.003411603613018066,0.0013513513513512265,0.005080301154532396
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,LogisticRegressionBalanced,25,0.5617581622291199,0.564927435663622,0.003169273434502129,-0.009459459459459474,-0.029916183168817945
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,LogisticRegression,25,0.5620418541201638,0.5651757117334266,0.0031338576132627916,-0.0013513513513512265,-0.0039032730290435858
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,LogisticRegression,25,0.5605105281111085,0.5633719626347657,0.0028614345236572802,-0.004054054054054013,-0.01260402750380818
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,LogisticRegressionBalanced,25,0.5611384561601851,0.5638814018909105,0.0027429457307254212,-0.0175675675675675,-0.05562657163154716
