seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
22,continuous_bayes_global_m25,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.15258195948748174,0.11274914228931332,0.2861655338080461,0.5499953990216313,0.5351772248035344
22,continuous_category_residual,content_plus_reliability,DummyRegressor,25,1480,0.23502202151985357,0.1791221354760826,-1.8638025645723033e-05,,-7.022094745878956e-18
22,continuous_category_residual,content_plus_reliability,Ridge,25,1480,0.2054048621019636,0.15374760906299564,0.23614237481546863,0.5118691640087927,0.4950590349965517
22,continuous_category_residual,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.2062208961773808,0.15063666968106326,0.2300609993565318,0.4997207222690059,0.480135050310763
33,continuous_base_rating,content_plus_reliability,DummyRegressor,25,1480,0.24192492701731053,0.18600344005262873,-5.163373683769734e-05,,2.524082306167703e-15
33,continuous_base_rating,content_plus_reliability,Ridge,25,1480,0.2096793440511695,0.15864664889489913,0.24877075772193236,0.4976767691462106,0.5044404105408857
33,continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.20912896216786564,0.1554640615855001,0.2527093461690533,0.5048486053643719,0.5027444297084602
33,continuous_bayes_global_m25,content_plus_reliability,DummyRegressor,25,1480,0.18330397444130686,0.1431597852895745,-2.0872218837952872e-05,,9.101562339983013e-16
33,continuous_bayes_global_m25,content_plus_reliability,Ridge,25,1480,0.15620013327152532,0.12044543420724066,0.27384705726097813,0.5365100513312089,0.5301569393123737
33,continuous_bayes_global_m25,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.155530910828895,0.11822375167328283,0.28005597423434603,0.5459469364403177,0.5292465084180205
33,continuous_category_residual,content_plus_reliability,DummyRegressor,25,1480,0.24053710847956886,0.1852093881982647,-4.8728336329073585e-05,,
33,continuous_category_residual,content_plus_reliability,Ridge,25,1480,0.20967905658513702,0.15864704444130057,0.24008135931887842,0.4974647669319434,0.49622367927257904
33,continuous_category_residual,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.20893124293108378,0.15675955231185745,0.24549214447668377,0.501123457825405,0.4961496048519025
44,continuous_base_rating,content_plus_reliability,DummyRegressor,25,1480,0.24669469739929603,0.18665561098623976,-2.0757726870712645e-08,,1.2893017166379937e-15
44,continuous_base_rating,content_plus_reliability,Ridge,25,1480,0.2141512628781809,0.15867598164739963,0.24643336826199946,0.5239681770086201,0.5036806334766221
44,continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.21603627262332556,0.15949057266343938,0.2331088412279615,0.48704247085812813,0.48301569258729354
44,continuous_bayes_global_m25,content_plus_reliability,DummyRegressor,25,1480,0.18934741902274035,0.1451878671487619,-3.140357359932011e-06,,2.7336247470307066e-15
44,continuous_bayes_global_m25,content_plus_reliability,Ridge,25,1480,0.16007620188318364,0.12079796376465005,0.28527968415112925,0.5632674117554387,0.5392075331358149
44,continuous_bayes_global_m25,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.16091960794553223,0.12183105201560121,0.27772843732535624,0.5442358706759746,0.5280165437552051
44,continuous_category_residual,content_plus_reliability,DummyRegressor,25,1480,0.24564617852706835,0.18619119886606772,-6.876847375991701e-07,,-1.2673213408795206e-17
44,continuous_category_residual,content_plus_reliability,Ridge,25,1480,0.21415173795558387,0.15867669657774658,0.23998269550990836,0.5197413919086469,0.4968577006630945
44,continuous_category_residual,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.21713330996351826,0.160134140404875,0.21867237515063964,0.480558589764078,0.4684145454895859
55,continuous_base_rating,content_plus_reliability,DummyRegressor,25,1480,0.2533853619695352,0.19057066955393528,-0.0008115779956352487,,
55,continuous_base_rating,content_plus_reliability,Ridge,25,1480,0.2186489294541848,0.16208514529663953,0.25478088311912095,0.5129730759645372,0.5063706748642235
55,continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.21967624783401207,0.15959814171620032,0.2477616324525942,0.5105848032266551,0.498475052058401
